ID,Title,Category,Link,Preview Icon,Pages,PDF Link,Description,Keywords,Accession Number,Publisher,ISBN,Condition,Author,Language,Year,Script,Custodian,Digitization Sponsor
1860,Sri Guru Granth Sahib Ji,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=1860&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-000240_200.jpg,1504,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0001860.pdf,,,MN-000240,,,Good,,Panjabi,,Gurmukhi,"Man Singh Nirankari, Dr.",
1862,Sri Guru Granth Sahib Ji,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=1862&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-000241_200.jpg,1240,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0001862.pdf,,,MN-000241,,,Good,,Panjabi,,Gurmukhi,"Man Singh Nirankari, Dr.",
1871,Sri Guru Granth Sahib Ji,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=1871&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-000269_200.jpg,1625,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0001871.pdf,,,MN-000269,,,Partially Damaged,,Panjabi,,Gurmukhi,"Brijinder Singh, Col.",
1882,Dasam Granth,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=1882&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-000298_200.jpg,376,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0001882.pdf,,,MN-000298,,,Good,,Panjabi,,Gurmukhi,Gurmail Singh,
1884,Sri Guru Granth Sahib Ji,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=1884&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-000302_200.jpg,1440,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0001884.pdf,,,MN-000302,,,Partially Damaged,,Panjabi,,Gurmukhi,Chief Khalsa Diwan,
1893,Zafarnama,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=1893&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-001041_200.jpg,200,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0001893.pdf,"Written in exquisite Persian verse, the Zafarnama or 'Epistle of Victory' was a defiant message composed by Guru Gobind Singh Sahib, the tenth Sikh guru, and addressed to the Mughal emperor Aurangzeb, following a series of fierce battles between the imperial forces and Sikh warriors. Despite the ravages of the war and the loss of his four sons and many brave fighters, the Guru Sahib wrote about moral victory over the emperor.<br><br>With wisdom and honesty, the Guru Sahib indicts the emperor for the moral and spiritual bankruptcy of his empire, as exposed by the treachery of the emperor's commanders in battle. The 111 stirring stanzas in this timeless text form the core of the Guru Sahib's spiritual philosophy, highlighting his espousal of morality in thought and action as well as his deep understanding of the true nature of the Creator.",,MN-001041,,,Partially Damaged,,Persian,,Gurmukhi,,
1895,Dasam Granth,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=1895&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-001068_200.jpg,1462,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0001895.pdf,,,MN-001068,,,Good,,Braj,,Gurmukhi,Punjab Languages Department,
1897,Dasam Granth,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=1897&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-001069_200.jpg,1004,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0001897.pdf,,,MN-001069,,,Good,,Braj,1833,Gurmukhi,Punjab Languages Department,
1902,Zafarnama,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=1902&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-000644_200.jpg,195,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0001902.pdf,"Written in exquisite Persian verse, the Zafarnama or 'Epistle of Victory' was a defiant message composed by Guru Gobind Singh Sahib, the tenth Sikh guru, and addressed to the Mughal emperor Aurangzeb, following a series of fierce battles between the imperial forces and Sikh warriors. Despite the ravages of the war and the loss of his four sons and many brave fighters, the Guru Sahib wrote about moral victory over the emperor.<br><br>With wisdom and honesty, the Guru Sahib indicts the emperor for the moral and spiritual bankruptcy of his empire, as exposed by the treachery of the emperor's commanders in battle. The 111 stirring stanzas in this timeless text form the core of the Guru Sahib's spiritual philosophy, highlighting his espousal of morality in thought and action as well as his deep understanding of the true nature of the Creator.",,MN-000644,,,Good,,Persian,,Gurmukhi,,
1922,Janam Sakhi Babe Nanak Ji Ki,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=1922&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-000362_200.jpg,368,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0001922.pdf,,,MN-000362,,,Good,Bala Sandhi,Panjabi,,Gurmukhi,DSGMC,
